Altium Designer Pick and Place Locations
C:\Documents\Altium\SM_Project\QUANTUM\Time Stick “≈Õÿ.467883.004\TimeStick2.1\ECAD\Project Outputs for TIMESTICK_2.1\TIMESTICK_2.1_rev.1.2_P&P 2025-04-30 12-14\TIMESTICK_2.1_rev.1.2_Pick&Place 2025-04-30 12-14.txt

========================================================================================================================
File Design Information:

Date:       30.04.25
Time:       12:14
Revision:   3919960842409d0e30491195dad4b40feba45b2d
Variant:    release
Units used: mm

Designator Footprint             Center-X(mm) Center-Y(mm) Rotation Layer    Comment                 Description                                                                                                   
C1         CAP_0402_1005         59.7500      54.4500      90       TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C2         CAP_0402_1005         70.3000      58.0000      90       TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C3         CAP_0402_1005         69.5000      51.3100      90       TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C4         CAP_0402_1005         64.3443      54.4483      90       TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C5         CAP_0402_1005         99.5000      55.2500      270      TopLayer "10000 pF"              "CAP CER 10000PF 50V X7R 0402"                                                                                
C6         CAP_1206_3216_-_0.8MM 51.2500      53.5000      0        TopLayer "1000 pF/2kV"           "CAP CER 1000PF 2KV X7R 1206"                                                                                 
C7         CAP_0402_1005         97.5000      59.0000      90       TopLayer "47 pF"                 "CAP CER 47PF 50V C0G/NPO 0402"                                                                               
C8         CAP_0402_1005         108.3000     61.0000      180      TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C9         CAP_0402_1005         108.3000     60.0000      180      TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C10        CAP_0402_1005         76.2500      51.2500      0        TopLayer "1 µF"                  "CAP CER 1UF 10V X5R 0402"                                                                                    
C11        CAP_0402_1005         76.2500      49.7500      0        TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C12        CAP_0402_1005         88.3000      44.5000      0        TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C13        CAP_0402_1005         70.7500      63.0000      90       TopLayer "15 pF"                 "CAP CER 15PF 50V C0G/NPO 0402"                                                                               
C14        CAP_0402_1005         70.7500      65.3100      270      TopLayer "15 pF"                 "CAP CER 15PF 50V C0G/NPO 0402"                                                                               
C15        CAP_1206_3216_-_0.8MM 118.5000     53.5000      0        TopLayer "1000 pF/2kV"           "CAP CER 1000PF 2KV X7R 1206"                                                                                 
C16        CAP_0402_1005         82.7558      75.4000      180      TopLayer "1 µF"                  "CAP CER 1UF 10V X5R 0402"                                                                                    
C17        CAP_0402_1005         82.7558      77.0750      180      TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C18        CAP_0603_1608         100.4502     67.7670      0        TopLayer "22 µF"                 "CAP CER 22UF 10V X5R 0603"                                                                                   
C19        CAP_0402_1005         112.7002     69.0770      270      TopLayer "4.7 µF"                "CAP CER 4.7UF 10V X5R 0402"                                                                                  
C20        CAP_0402_1005         90.1442      76.1500      0        TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C21        CAP_0402_1005         75.0558      79.8000      270      TopLayer "4.7 µF"                "CAP CER 4.7UF 10V X5R 0402"                                                                                  
C22        CAP_0402_1005         74.0558      79.8000      270      TopLayer "4.7 µF"                "CAP CER 4.7UF 10V X5R 0402"                                                                                  
C23        CAP_0402_1005         82.7558      70.9000      180      TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C24        CAP_0402_1005         78.2558      65.9000      90       TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C25        CAP_0402_1005         77.0558      79.8000      270      TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
C26        CAP_0402_1005         68.9558      73.3000      0        TopLayer "0.1 µF"                "CAP CER 0.1UF 10V X7R 0402"                                                                                  
